More Dislikes than Likes
Dates			Likes		Dislikes	Difference
-------------------------------------------------------------------
2.8.2020		464		4741		4277
3.8.2020		508		6391		5883
12.8.2020		512		710		198
17.8.2020		1738		2144		406
19.8.2020		203		516		313
26.8.2020		1006		2790		1784
27.8.2020		1015		1801		786
8.9.2020		1092		1697		605
9.9.2020		1222		1965		743
11.9.2020		1303		2209		906
12.9.2020		1323		2240		917
15.9.2020		1405		2307		902
18.9.2020		1419		2311		892
24.9.2020		1097		1750		653
26.9.2020		746		1345		599
30.9.2020		926		1475		549
5.10.2020		1431		2716		1285
